Country,Origin,Total Deaths,Total Damages ('000 US$)
Cabo Verde,NA,11000,NA
India,NA,1250000,NA
Guatemala,NA,2000,25000
Guatemala,NA,1000,NA
Guatemala,NA,6000,NA
Canada,NA,76,NA
Comoros (the),NA,17,NA
Bangladesh,NA,NA,NA
Canada,NA,18,NA
India,NA,20000,25000
Chile,NA,20000,100000
Colombia,NA,400,NA
Belgium,NA,6,NA
Belgium,NA,NA,NA
Hong Kong,NA,10000,20000
China,NA,12000,NA
India,NA,1300000,NA
Canada,NA,33,NA
Bangladesh,NA,172,NA
Bangladesh,NA,NA,NA
China,NA,1500000,NA
France,NA,46,NA
Haiti,NA,150,NA
Indonesia,NA,40,NA
Burkina Faso,NA,NA,NA
Canada,NA,62,NA
China,NA,60000,NA
Cabo Verde,NA,NA,NA
Costa Rica,NA,1750,NA
Algeria,NA,12,NA
Gambia (the),NA,NA,NA
Guinea-Bissau,NA,NA,NA
Bangladesh,NA,NA,NA
Canada,NA,73,NA
China,NA,100000,NA
Canada,NA,28,5000
China,NA,50000,NA
Indonesia,NA,20,NA
Canada,NA,56,NA
China,NA,NA,NA
Haiti,NA,1600,NA
India,NA,300,NA
China,NA,1800,NA
China,NA,NA,NA
Guatemala,NA,2650,NA
Indonesia,NA,15000,NA
China,NA,10000,NA
Bangladesh,NA,393000,NA
Canada,NA,50000,NA
Anguilla,NA,NA,NA
Anguilla,NA,NA,NA
Bangladesh,NA,NA,NA
Indonesia,NA,5000,NA
China,NA,180000,25000
Cabo Verde,NA,24000,NA
Anguilla,NA,NA,NA
China,NA,500000,NA
Germany Fed Rep,NA,NA,20000
India,NA,2000000,NA
India,NA,500000,NA
Anguilla,NA,NA,NA
Chile,NA,1000,NA
Anguilla,NA,NA,NA
Bangladesh,NA,NA,NA
Canada,NA,43,8000
China,NA,100000,NA
Anguilla,NA,NA,NA
Bangladesh,NA,6,NA
China,NA,5000,NA
Hong Kong,NA,100,NA
Ecuador,NA,40,NA
Indonesia,NA,727,NA
India,NA,1242,NA
India,NA,300000,NA
China,NA,5000,NA
Germany Fed Rep,NA,NA,19000
India,NA,80,NA
Belgium,NA,NA,NA
Bangladesh,NA,NA,NA
Bahamas (the),NA,NA,NA
Colombia,NA,100,NA
Cuba,NA,600,NA
Germany Fed Rep,NA,NA,31000
Egypt,NA,12,NA
France,NA,28,NA
India,NA,NA,NA
India,NA,423000,NA
Indonesia,NA,50,NA
China,NA,40912,NA
China,NA,5000,NA
Algeria,NA,3000,NA
India,NA,56,NA
India,NA,629,NA
Belgium,NA,NA,NA
Bulgaria,NA,107,NA
Canada,Earthquake,27,NA
Chile,NA,220,NA
China,NA,3000000,NA
Guadeloupe,NA,2000,NA
Greece,NA,103,NA
Indonesia,Volacno and landslide,128,NA
Bahamas (the),NA,NA,NA
Germany Fed Rep,NA,NA,55000
Belgium,NA,NA,NA
Belgium,NA,60,NA
Dominica,NA,2000,NA
Dominican Republic (the),NA,2000,40000
France,NA,40,NA
Greece,NA,22,NA
Indonesia,NA,1369,NA
Canada,NA,NA,NA
China,NA,3700000,1400000
Belize,NA,1500,7500
Ecuador,NA,190,NA
Fiji,NA,200,NA
Honduras,NA,1500,NA
Indonesia,NA,1300,NA
Cuba,NA,2500,NA
France,NA,30,NA
Indonesia,NA,6,NA
China,NA,10000,NA
China,NA,18000,NA
China,NA,500,NA
Bahamas (the),NA,14,NA
China,NA,142000,NA
Cuba,NA,35,NA
Haiti,NA,2150,NA
India,NA,60000,NA
